SiteID,OperatorName,Latitude,Longitude
VOD_KE011,Vodafone,53.169120617200,-6.727218397300
VOD_KE015,Vodafone,53.190269457800,-6.676576411000
VOD_KE024,Vodafone,53.134820069100,-6.738916304800
VOD_KE025,Vodafone,53.105472488900,-6.995732129100
VOD_KE026,Vodafone,53.157927302300,-6.911477476200
VOD_KE027,Vodafone,53.259800287000,-6.667551684000
VOD_KE051,Vodafone,53.210524656000,-6.666192714100
VOD_KE052,Vodafone,53.228194279100,-6.633972214700
VOD_KE056,Vodafone,53.149325601500,-6.837110762900
VOD_KE057,Vodafone,53.238031471700,-6.729607694400
VOD_KE067,Vodafone,53.247388313700,-6.663308289800
VOD_KE068,Vodafone,53.185728715700,-6.808196413400
VOD_KE073,Vodafone,53.217144071800,-6.705823952700
VOD_KE079,Vodafone,53.237073400300,-6.671418152200
VOD_KE083,Vodafone,53.205261775100,-6.666445984300
VOD_KE092,Vodafone,53.156805370700,-6.909652193100
VOD_KE093,Vodafone,53.147465488200,-6.936059394000
VOD_KE098,Vodafone,53.144591961700,-6.904566493700
VOD_KE099,Vodafone,53.250957015700,-6.606937481900
VOD_KE101,Vodafone,53.138277113000,-7.054707924000
VOD_KE102,Vodafone,53.126727487100,-6.762383590400
VOD_KE106,Vodafone,53.241043155600,-6.646489852800
VOD_KE107,Vodafone,53.178047832500,-6.798552834700
VOD_KE113,Vodafone,53.187522537700,-6.780350670200
VOD_KE119,Vodafone,53.125283215200,-7.033377604800
VOD_KE123,Vodafone,53.160018821700,-6.795543144700
VOD_KE127,Vodafone,53.217201316000,-6.650251011400
VOD_KE129,Vodafone,53.282657848100,-6.636358434900
VOD_KE357,Vodafone,53.164087939300,-6.900331951700
VOD_KE369,Vodafone,53.196235564100,-6.741183882600
VOD_KE370,Vodafone,53.231654348300,-6.685139081900
VOD_KEA3J,Vodafone,53.240318478600,-6.614712662400
VOD_KEA4H,Vodafone,53.210700038400,-6.726554803300
VOD_KEA5C,Vodafone,53.163445137900,-6.823676140200
VOD_KECM1,Vodafone,53.177275009900,-6.812887900700
VOD_KECYE,Vodafone,53.155888116800,-6.965973199600
VOD_KEDMH,Vodafone,53.198508888800,-6.933568322400
VOD_KEDNU,Vodafone,53.180188769500,-6.797894672300
VOD_KENAS,Vodafone,53.217945720000,-6.665273443400
VOD_LK007,Vodafone,52.664618357800,-8.629153863100
VOD_LK022,Vodafone,52.663340146300,-8.596531107200
VOD_LK024,Vodafone,52.668241645500,-8.623692337700
VOD_LK025,Vodafone,52.676223371600,-8.556449180000
VOD_LK034,Vodafone,52.637582032200,-8.590095204100
VOD_LK050,Vodafone,52.622665643200,-8.653359634000
VOD_LK060,Vodafone,52.640095672500,-8.645745689500
VOD_LK062,Vodafone,52.664617756200,-8.565007444900
VOD_LK065,Vodafone,52.722013809100,-8.478770988300
VOD_LK068,Vodafone,52.650214204600,-8.579641612000
VOD_LK073,Vodafone,52.673786507600,-8.571911179500
VOD_LK074,Vodafone,52.657096269900,-8.641015877100
VOD_LK077,Vodafone,52.650260184400,-8.666654873300
VOD_LK078,Vodafone,52.653746506600,-8.608207144900
VOD_LK079,Vodafone,52.686273601400,-8.474964445800
VOD_LK082,Vodafone,52.658974328200,-8.630979272200
VOD_LK083,Vodafone,52.639530690300,-8.547283178800
VOD_LK087,Vodafone,52.634369337500,-8.641171274700
VOD_LK088,Vodafone,52.669448770200,-8.653184669900
VOD_LK094,Vodafone,52.669351229900,-8.615991956800
VOD_LK095,Vodafone,52.661480308100,-8.507668154900
VOD_LK096,Vodafone,52.650205043000,-8.604877916300
VOD_LK099,Vodafone,52.655261922600,-8.651126210100
VOD_LK104,Vodafone,52.664765247000,-8.552786020200
VOD_LK108,Vodafone,52.666175227400,-8.632102802400
VOD_LK112,Vodafone,52.662551658900,-8.533825494500
VOD_LK116,Vodafone,52.663226700600,-8.628926931700
VOD_LK119,Vodafone,52.637901845700,-8.654162571300
VOD_LK127,Vodafone,52.615809441100,-8.654925980300
VOD_LK131,Vodafone,52.647338798700,-8.618741157300
VOD_LK132,Vodafone,52.628488842400,-8.661435869500
